index,count,mean,std,min,25%,50%,75%,max
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum|t__Ruminococcus_obeum_unclassified,1918.0,0.3741979822732012,0.5143417708220465,0.00023999999999999998,0.09466749999999999,0.215775,0.43922,4.93766
k__Bacteria|p__Firmicutes|c__Erysipelotrichia,1918.0,1.049780370177268,2.2816309266358887,0.00026000000000000003,0.06430749999999999,0.261475,1.0492400000000002,37.40464
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,1918.0,1.049780370177268,2.2816309266358887,0.00026000000000000003,0.06430749999999999,0.261475,1.0492400000000002,37.40464
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides,1908.0,3.353240634171908,4.0582060491433,0.00182,0.9301075,2.1387799999999997,4.1880825,35.937709999999996
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,1908.0,0.6906542295597484,1.292294618254266,9e-05,0.08683000000000002,0.26634,0.7409600000000001,26.936740000000004
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae,1908.0,0.6906542295597484,1.292294618254266,9e-05,0.08683000000000002,0.26634,0.7409600000000001,26.936740000000004
k__Bacteria|p__Firmicutes|c__Bacilli,1892.0,1.5490998150105708,4.362113564474656,0.00021,0.056984999999999994,0.242155,0.9423775,63.77609
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,1891.0,1.53219176097303,4.335203787093468,0.00021,0.05645,0.2379,0.9249050000000001,63.505759999999995
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques|t__Ruminococcus_torques_unclassified,1873.0,1.3918658889482114,2.3241481146787573,0.00042,0.36393000000000003,0.77399,1.45062,31.29888
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae,1863.0,3.55891231884058,6.318178753567238,0.00016,0.08606,0.80411,4.56798,60.27871999999999
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,1860.0,3.313358634408602,9.433466557748549,0.0003,0.087095,0.37584,1.9213775000000002,98.97546
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,1859.0,0.9783549112426035,2.8489142714815348,0.00021,0.038225,0.16906,0.61208,43.24869
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus,1857.0,4.683229962304793,5.970946903897622,0.00021,0.87359,2.63351,6.0250900000000005,66.44552
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes,1854.0,5.154977249190939,5.880807692687746,0.00033999999999999997,0.9805875,3.358885,7.2157800000000005,59.73636
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,1854.0,5.154977249190939,5.880807692687746,0.00033999999999999997,0.9805875,3.358885,7.2157800000000005,59.73636
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,1849.0,0.9438906003244998,2.818502940273742,0.00021,0.03645,0.16263,0.56317,43.16279
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,1844.0,3.877704154013015,5.684559857404965,0.00044,0.42939750000000004,1.63219,4.9779725,46.56341
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,1820.0,1.5048320384615386,3.408454240098958,0.00014,0.0664025,0.347665,1.5825624999999999,56.81946
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,1815.0,2.2689784683195593,5.794286144471006,5.9999999999999995e-05,0.098605,0.44571000000000005,1.62816,71.12688
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium,1805.0,1.5035723213296397,3.4160439260445137,0.00014,0.06431,0.34754,1.58195,56.81946
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__Bacteroides_uniformis_unclassified,1800.0,3.7907625944444447,5.698298462443663,0.00044,0.3989,1.538125,4.7817925,46.56341
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,1797.0,3.6455442348358376,5.583647392307437,0.00018,0.44652,1.7145,4.28564,53.57816
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus|t__Bacteroides_vulgatus_unclassified,1796.0,3.634766636971047,5.568916426823295,0.00018,0.44643249999999995,1.7133850000000002,4.284574999999999,53.57816
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,1787.0,0.6924935142697257,1.1079094382822035,0.00013000000000000002,0.095745,0.33588,0.8383099999999999,13.46945
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale|t__Eubacterium_rectale_unclassified,1783.0,4.711985445877734,6.19194632411922,0.00016999999999999999,0.42504,2.18122,6.639755,41.48279
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii,1783.0,0.831512136848009,1.4918734725172784,7e-05,0.10026499999999999,0.30384,0.869155,20.26885
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii|t__GCF_000173975,1783.0,0.831512136848009,1.4918734725172784,7e-05,0.10026499999999999,0.30384,0.869155,20.26885
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale,1783.0,4.719972933258553,6.201740117450236,0.00016999999999999999,0.42504,2.18783,6.66344,41.48279
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae,1781.0,0.42642286355979786,0.7476763841819323,0.00014,0.0719,0.19523,0.47589,16.55161
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter,1781.0,0.42642286355979786,0.7476763841819323,0.00014,0.0719,0.19523,0.47589,16.55161
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__Bacteroides_ovatus_unclassified,1777.0,2.1225275520540237,5.595702174614627,5.9999999999999995e-05,0.09204,0.38205,1.4775200000000002,71.12688
